"X1","X2","Y1","Y2",
0.89568,0.36996,-1,-1,
-0.55531,0.0024075,-1,-1,
-0.32045,0.76093,-1,-1,
-0.58559,0.42666,-1,-1,
1.1221,0.13019,-1,-1,
-1.7733,0.85199,-1,-1,
0.22241,0.47054,-1,-1,
-0.67058,0.01299,-1,-1,
0.48871,0.939,-1,-1,
-1.6282,0.37737,-1,-1,
1.7977,0.86728,-1,-1,
-0.40932,0.87287,-1,-1,
2.0394,0.021665,-1,-1,
-0.67219,0.87391,-1,-1,
-0.94939,0.87031,-1,-1,
0.30122,0.10719,-1,-1,
-1.0025,0.95924,-1,-1,
0.30254,0.41468,-1,-1,
0.44208,0.91716,-1,-1,
0.42357,0.53579,-1,-1,
0.09937,0.24854,-1,-1,
-0.043894,0.7819,-1,-1,
-0.75633,0.60088,-1,-1,
-0.66224,0.20364,-1,-1,
1.6192,0.37629,-1,-1,
-2.1097,0.065367,-1,-1,
-0.98319,0.98748,-1,-1,
0.30879,0.51633,-1,-1,
0.44761,0.94576,-1,-1,
-0.50282,0.21698,-1,-1,
0.28432,0.68674,-1,-1,
-0.28005,0.46648,-1,-1,
0.92674,0.25584,-1,-1,
0.40314,0.83683,-1,-1,
-0.50968,0.29131,-1,-1,
-2.2642,0.11606,-1,-1,
0.41355,0.38253,-1,-1,
2.0572,0.21276,-1,-1,
0.49749,0.50856,-1,-1,
-0.29927,0.52005,-1,-1,
1.6406,0.91902,-1,-1,
0.13471,0.94519,-1,-1,
1.7244,0.95029,-1,-1,
0.27931,0.49645,-1,-1,
0.67835,0.57644,-1,-1,
1.6534,0.99012,-1,-1,
0.77584,0.56895,-1,-1,
2.4649,0.61402,-1,-1,
-1.2258,0.15001,-1,-1,
-1.2601,0.30707,-1,-1,
1.2118,2.7262,-1,-1,
-0.48835,2.5641,-1,-1,
0.053496,2.1457,-1,-1,
0.97537,2.5516,-1,-1,
0.29005,2.6252,-1,-1,
-0.074093,2.6835,-1,-1,
0.43616,2.6736,-1,-1,
-1.0047,2.2939,-1,-1,
-0.047853,2.1421,-1,-1,
1.2519,2.9633,-1,-1,
0.34213,2.5705,-1,-1,
2.6876,2.2049,-1,-1,
1.2112,2.2638,-1,-1,
1.7476,2.0908,-1,-1,
0.22246,2.6785,-1,-1,
-1.2287,2.9415,-1,-1,
-0.67039,2.1532,-1,-1,
1.5172,2.6673,-1,-1,
-0.99959,2.7816,-1,-1,
0.89277,2.9012,-1,-1,
0.61449,2.5092,-1,-1,
-0.98972,2.3836,-1,-1,
0.97333,2.7518,-1,-1,
-1.2089,2.4533,-1,-1,
0.18082,2.5704,-1,-1,
-0.88384,2.3234,-1,-1,
0.27614,2.2684,-1,-1,
-0.11913,2.7309,-1,-1,
-1.4768,2.0073,-1,-1,
1.0667,2.6483,-1,-1,
1.0931,2.2045,-1,-1,
0.42638,2.6545,-1,-1,
-0.32818,2.2767,-1,-1,
-1.8915,2.8586,-1,-1,
-0.86936,2.3912,-1,-1,
0.30034,2.7252,-1,-1,
0.12847,2.2825,-1,-1,
-0.043022,2.3918,-1,-1,
0.14844,2.2797,-1,-1,
1.165,2.5657,-1,-1,
0.96012,2.377,-1,-1,
-1.6314,2.1294,-1,-1,
0.003103,2.1526,-1,-1,
-2.0238,2.7074,-1,-1,
2.0054,2.2677,-1,-1,
1.5783,2.8351,-1,-1,
1.2601,2.1707,-1,-1,
0.29831,2.6771,-1,-1,
0.7289,2.243,-1,-1,
-0.35625,2.6474,-1,-1,
6.5756,1.3343,1,1,
5.1948,1.4617,1,1,
