"X","Y",
0.62945,0.14758,
0.81158,0.21353,
-0.74603,0.40088,
0.82675,-0.03606,
0.26472,0.38061,
-0.80492,1.0673,
-0.443,-0.52532,
0.093763,0.30885,
0.91501,-0.38711,
0.92978,-0.25312,
-0.68477,0.2434,
0.94119,-1.2571,
0.91433,-0.76158,
-0.029249,0.26739,
0.60056,0.36592,
-0.71623,0.67821,
-0.15648,-0.24827,
0.83147,0.26149,
0.58441,0.17304,
0.91898,-0.6383,
0.31148,0.28982,
-0.92858,2.7333,
0.69826,0.62284,
0.86799,0.053881,
0.35747,0.38049,
0.51548,0.58318,
0.48626,0.63638,
-0.21555,-0.090245,
0.31096,0.51231,
-0.65763,0.33672,
